City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Broken Hill,AU,2023-01-03 15:09:25,-31.95,141.4333,66.63,38,0,20.51
210,Qasigiannguit,GL,2023-01-03 15:09:25,68.8193,-51.1922,-3.75,74,35,7.43
211,Mahebourg,MU,2023-01-03 15:08:16,-20.4081,57.7,82.69,65,40,5.75
212,Mount Gambier,AU,2023-01-03 15:09:26,-37.8333,140.7667,55.81,57,90,9.98
213,Port-Gentil,GA,2023-01-03 15:09:26,-0.7193,8.7815,84.16,79,40,11.5
214,Gleisdorf,AT,2023-01-03 15:09:26,47.1061,15.7127,45.14,98,100,2.21
215,Oranjestad,AW,2023-01-03 15:08:30,12.524,-70.027,83.91,72,40,16.11
216,Sharjah,AE,2023-01-03 15:09:27,25.3573,55.4033,75.18,49,0,10.36
217,Rocha,UY,2023-01-03 15:09:28,-34.4833,-54.3333,88.29,17,0,5.61
218,Adre,TD,2023-01-03 15:09:28,13.4667,22.2,81.79,20,0,11.59
219,La Libertad,EC,2023-01-03 15:09:29,-2.2333,-80.9,76.66,83,40,4.61
220,Phagwara,IN,2023-01-03 15:09:29,31.2178,75.7694,53.08,52,0,5.26
221,Tautira,PF,2023-01-03 15:09:30,-17.7333,-149.15,80.53,77,100,18.97
222,Carthage,TN,2023-01-03 15:09:30,36.8611,10.3316,69.33,23,20,3.44
223,Bambous Virieux,MU,2023-01-03 15:09:30,-20.3428,57.7575,82.65,65,40,5.75
224,Khiv,RU,2023-01-03 15:09:31,41.7543,47.9306,45.55,51,12,4.25
225,Opuwo,NA,2023-01-03 15:09:31,-18.0607,13.84,81.81,41,94,15.26
226,Satipo,PE,2023-01-03 15:09:32,-11.2522,-74.6386,76.35,86,99,1.61
227,Balaghat,IN,2023-01-03 15:09:33,21.8,80.1833,64.67,53,4,5.73
228,Popondetta,PG,2023-01-03 15:09:34,-8.7537,148.2534,74.37,98,100,2.68
229,Gimli,CA,2023-01-03 15:09:34,50.6336,-96.9907,3.56,97,16,7.09
230,Panaba,MX,2023-01-03 15:09:34,21.2833,-88.2667,80.96,68,30,14.9
231,Rovaniemi,FI,2023-01-03 15:09:35,66.5,25.7167,13.41,92,75,8.05
232,Ulaanbaatar,MN,2023-01-03 15:07:49,47.9077,106.8832,-29.07,68,47,4.47
233,Mounana,GA,2023-01-03 15:09:35,-1.4085,13.1586,81.12,64,96,2.33
234,Vostok,RU,2023-01-03 15:09:36,46.4856,135.8833,-14.3,100,100,3.49
235,Vaitape,PF,2023-01-03 15:07:56,-16.5167,-151.75,80.33,77,94,16.6
236,New Norfolk,AU,2023-01-03 15:09:37,-42.7826,147.0587,54.9,67,95,0.54
237,Hofn,IS,2023-01-03 15:09:37,64.2539,-15.2082,40.71,89,100,9.48
238,Soyo,AO,2023-01-03 15:09:37,-6.1349,12.3689,81.88,76,72,11.03
239,Isangel,VU,2023-01-03 15:09:38,-19.55,169.2667,79.41,79,77,8.59
240,Tchollire,CM,2023-01-03 15:09:38,8.4022,14.1698,92.55,15,23,4.23
241,Gloucester,GB,2023-01-03 15:07:48,51.8657,-2.2431,53.73,90,100,12.66
242,Loreto,MX,2023-01-03 15:09:39,22.2667,-101.9667,50.02,77,0,9.73
243,Dawlatabad,AF,2023-01-03 15:09:39,36.4141,64.9053,45.18,40,91,2.53
244,Wanxian,CN,2023-01-03 15:09:39,30.8039,108.3897,50.14,72,29,0.94
245,Laredo,US,2023-01-03 15:08:11,27.5064,-99.5075,61.09,36,0,11.5
246,Yaan,NG,2023-01-03 15:09:40,7.3833,8.5667,95.65,15,21,10.33
247,Ust-Kuyga,RU,2023-01-03 15:09:41,70.0167,135.6,-43.44,99,87,6.62
248,Hamilton,US,2023-01-03 15:05:35,39.1834,-84.5333,62.24,96,100,8.05
